time,value
1991-04-01,122900
1991-07-01,122295.5
1991-10-01,119850
1992-01-01,116057.5
1992-04-01,114058
1992-07-01,112791
1992-10-01,110516
1993-01-01,108135
1993-04-01,106445.5
1993-07-01,105402.5
1993-10-01,104092.5
1994-01-01,102335.5
1994-04-01,101300
1994-07-01,101037
1994-10-01,100417.5
1995-01-01,99482.5
1995-04-01,96719.0465982816
1995-07-01,94583.8598744525
1995-10-01,94300.4447549931
1996-01-01,94018.7814788223
1996-04-01,93991.2
1996-07-01,93372.6
1996-10-01,92235.75
1997-01-01,90931.55
1997-04-01,89819.2
1997-07-01,89274.8
1997-10-01,88782.35
1998-01-01,88126.5
1998-04-01,88052.6
1998-07-01,88272.25
1998-10-01,88277.05
1999-01-01,88125.7
1999-04-01,88351.4
1999-07-01,88903.9
1999-10-01,89459.35
2000-01-01,90209.45
2000-04-01,91802.7
2000-07-01,93935.05
2000-10-01,95775.1
2001-01-01,97687.45
2001-04-01,100267.75
2001-07-01,102627.65
2001-10-01,103891.5
2002-01-01,104694.45
2002-04-01,105492.35
2002-07-01,106221.35
2002-10-01,106763.9
2003-01-01,107404.35
2003-04-01,108479.8
2003-07-01,109634.55
2003-10-01,109935.5
2004-01-01,110095.1
2004-04-01,112379.3
2004-07-01,113512.55
2004-10-01,112625.55
2005-01-01,113167.45
2005-04-01,114114.5
2005-07-01,114097.35
2005-10-01,114502.95
2006-01-01,115986.9
2006-04-01,118356.7
2006-07-01,121783.8
2006-10-01,124502.2
2007-01-01,126711
2007-04-01,129776.85
2007-07-01,132545.7
2007-10-01,133714.4
2008-01-01,135029.3
2008-04-01,137671.4
2008-07-01,139417.65
2008-10-01,139419.45
2009-01-01,139584
2009-04-01,141150.05
2009-07-01,142145
2009-10-01,142308.85
2010-01-01,143675.4
2010-04-01,146801.9
2010-07-01,149595.55
2010-10-01,150636.55
2011-01-01,152073.45
2011-04-01,155603.3
2011-07-01,159867.8
2011-10-01,161987
2012-01-01,163230.05
2012-04-01,166251.4
2012-07-01,169928.55
2012-10-01,172089.55
2013-01-01,172733.6
2013-04-01,176150.8
2013-07-01,180927.95
2013-10-01,182193.65
2014-01-01,181929.9
2014-04-01,184329.85
2014-07-01,187627.2
2014-10-01,188241.1
2015-01-01,187483.65
2015-04-01,189362.35
2015-07-01,192345.95
2015-10-01,192645.6
2016-01-01,192060.45
2016-04-01,193711.75
2016-07-01,196348.65
2016-10-01,197694.8
2017-01-01,197367.1
2017-04-01,199045
2017-07-01,202482.6
2017-10-01,202822.55
2018-01-01,201688.8
2018-04-01,201543
2018-07-01,201236.05
2018-10-01,200825.75
2019-01-01,202171.5
2019-04-01,205205.05
2019-07-01,208318.1
2019-10-01,210512.05
2020-01-01,212140.5
2020-04-01,213490.45
